Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,HybridPresent,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
dwm.exe,2212,0x21EB54DDA20,DXGI,1,0,0,Hardware: Legacy Flip,0,613.7355,NA,6.82480000000000,6.95320000000000,0.21590000000000,0.18960000000000,6.2841,607.1457,6.8057,6.5898,0.2159,0.0000,6.8293,0.2078,6.6215,0.0912,607.1457,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,694.1997,NA,7.49620000000000,83.30880000000001,0.04930000000000,1.00880000000000,9.1287,686.7671,7.4819,7.4326,0.0493,8.2767,0.1647,0.1647,0.0000,1.2972,686.7671,NA,NA,NA
dwm.exe,2212,0x21EB54DDA20,DXGI,1,0,0,Hardware: Legacy Flip,0,696.0315,NA,82.29600000000001,83.30880000000001,0.17950000000000,0.20230000000000,7.2969,613.9514,82.2596,82.0801,0.1795,0.0000,82.3087,0.1896,82.1191,-76.5031,613.9514,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,699.9602,NA,5.76050000000000,6.94550000000000,0.05240000000000,0.41770000000000,10.3137,694.2490,5.7636,5.7112,0.0524,5.9032,0.2257,0.2257,0.0000,0.5364,694.2490,NA,NA,NA
dwm.exe,2212,0x21EB54DDA20,DXGI,1,0,0,Hardware: Legacy Flip,0,703.8015,NA,7.77000000000000,6.94550000000000,0.11730000000000,0.14300000000000,6.4724,696.2110,7.7078,7.5905,0.1173,0.0228,7.7107,0.1891,7.5216,75.3141,696.2110,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,708.0183,NA,8.05810000000000,7.00660000000000,0.04840000000000,0.46200000000000,9.2622,700.0126,8.0541,8.0057,0.0484,8.1243,0.3434,0.2660,0.0774,-1.2430,700.0126,NA,NA,NA
dwm.exe,2212,0x21EB54DDA20,DXGI,1,0,0,Hardware: Legacy Flip,0,710.7893,NA,6.98780000000000,7.00660000000000,0.13610000000000,0.17000000000000,6.4912,703.9188,7.0066,6.8705,0.1361,0.0257,7.0148,0.2474,6.7674,0.7012,703.9188,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,715.0465,NA,7.02820000000000,6.88830000000000,0.05320000000000,0.45840000000000,9.1223,708.0667,7.0330,6.9798,0.0532,7.1902,0.2480,0.2480,0.0000,1.1658,708.0667,NA,NA,NA
dwm.exe,2212,0x21EB54DDA20,DXGI,1,0,0,Hardware: Legacy Flip,0,717.7859,NA,6.99660000000000,6.88830000000000,0.11340000000000,0.29200000000000,6.3829,710.9254,6.9739,6.8605,0.1134,0.0339,7.1186,0.2309,6.8877,0.1183,710.9254,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,722.1498,NA,7.10330000000000,7.00220000000000,0.06220000000000,0.56930000000000,9.0212,715.0997,7.1123,7.0501,0.0622,7.3834,0.2360,0.2360,0.0000,0.0308,715.0997,NA,NA,NA
dwm.exe,2212,0x21EB54DDA20,DXGI,1,0,0,Hardware: Legacy Flip,0,724.7076,NA,6.92170000000000,7.00220000000000,0.14360000000000,0.24370000000000,6.4634,717.8993,6.9519,6.8083,0.1436,0.1786,6.8734,0.1981,6.6753,-0.0283,717.8993,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,728.0060,NA,5.85620000000000,6.94080000000000,0.05420000000000,0.45170000000000,10.1058,722.2120,5.8482,5.7940,0.0542,6.0146,0.2311,0.2311,0.0000,0.1715,722.2120,NA,NA,NA
