Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,HybridPresent,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,261.8114,NA,7.47430000000000,6.94350000000000,0.07530000000000,0.57140000000000,18.3295,254.4010,7.4857,7.4104,0.0753,7.5653,0.4165,0.2552,0.1613,-0.1897,254.4010,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,266.7337,NA,6.99770000000000,6.94350000000000,0.14450000000000,0.12300000000000,13.4072,259.8644,7.0138,6.8693,0.1445,0.0000,7.0072,0.1964,6.8108,-0.1022,259.8644,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,268.9447,NA,7.13330000000000,6.94520000000000,0.06660000000000,0.38880000000000,18.1414,261.8867,7.1246,7.0580,0.0666,7.2263,0.2205,0.2193,0.0012,0.5405,261.8867,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,273.6344,NA,6.90070000000000,6.94520000000000,0.14970000000000,0.14410000000000,13.4517,266.8782,6.9059,6.7562,0.1497,0.0000,6.9218,0.1920,6.7298,0.0686,266.8782,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,275.6308,NA,6.68610000000000,6.94840000000000,0.06890000000000,0.49260000000000,18.4037,269.0113,6.6884,6.6195,0.0689,0.3222,6.7899,0.2873,6.5026,0.1762,269.0113,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,280.5662,NA,6.93180000000000,6.94840000000000,0.13490000000000,0.14330000000000,13.4683,273.7841,6.9170,6.7821,0.1349,0.0000,6.9310,0.1926,6.7384,-0.0425,273.7841,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,284.5450,NA,8.91420000000000,6.94450000000000,0.10100000000000,0.39120000000000,16.4340,275.6997,8.9463,8.8453,0.1010,8.9998,0.2367,0.2367,0.0000,-0.2561,275.6997,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,287.5327,NA,6.96650000000000,6.94450000000000,0.18350000000000,0.14060000000000,13.4463,280.7011,7.0151,6.8316,0.1835,0.0084,6.9638,0.1979,6.7659,-0.0275,280.7011,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,290.6810,NA,6.13600000000000,6.94380000000000,0.06910000000000,0.41680000000000,17.2418,284.6460,6.1041,6.0350,0.0691,6.2205,0.2313,0.2313,0.0000,2.0025,284.6460,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,294.4973,NA,6.96460000000000,6.94380000000000,0.13770000000000,0.11180000000000,13.4255,287.7162,6.9188,6.7811,0.1377,0.0000,6.9358,0.1954,6.7404,0.0713,287.7162,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,295.9495,NA,5.26850000000000,6.93620000000000,0.06550000000000,0.33230000000000,18.9095,290.7501,5.2649,5.1994,0.0655,5.3170,0.2147,0.2147,0.0000,-0.8321,290.7501,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,301.4859,NA,6.98860000000000,6.93620000000000,0.38720000000000,0.16130000000000,13.3731,294.6350,7.2381,6.8509,0.3872,0.0000,7.0381,0.2032,6.8349,-0.0174,294.6350,NA,NA,NA
